title,price,provence,year,fuel,kilometers,change,power
Ford Transit Connect Combi 5 90 cv,4.500 €,"Torrijos (Toledo)
Hace 34 minutos",2007,Diesel,243.000 Km,,90 CV
Honda CR-V AUTOMATICO 4X4,2.995 €,"Torrijos (Toledo)
Hace 34 minutos",2000,Gasolina,213.800 Km,,147 CV
Hyundai Santa Fe STYLE 4X4,6.900 €,"Torrijos (Toledo)
Hace 34 minutos",2006,Diesel,192.800 Km,,150 CV
Citroen C4 1.6 HDI,7.975 €,"Malaga
Hace 55 minutos",2012,Diesel,76.590 Km,,112 CV
Fiat Bravo 1.9 JTD,4.975 €,"Malaga
Hace 55 minutos",2008,Diesel,166.100 Km,,120 CV
Renault Megane Bose 1.9 DCI,8.975 €,"Malaga
Hace 55 minutos",2012,Diesel,72.180 Km,,130 CV
Peugeot 107 1.4 HDI,2.975 €,"Malaga
Hace 55 minutos",2006,Diesel,95.000 Km,,55 CV
BMW Serie 3 320 I,9.375 €,"Malaga
Hace 55 minutos",2009,Gasolina,97.180 Km,,170 CV
Citroen C4 Cactus 1.6 HDI SHINE 92 CV SEMI AUTOMATICO,10.450 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2015,Diesel,122.947 Km,,92 CV
Opel Astra 1.6 CDTI 110 SELECTIVE,8.950 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2014,Diesel,94.416 Km,,110 CV
Ford Focus SEDAN 1.8 TDDI 90 CV TREND,1.800 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2004,Diesel,200.518 Km,,90 CV
Renault Megane 1.5 DCI 90 CV BUSINESS,7.400 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2013,Diesel,121.603 Km,,90 CV
Renault Clio 1.5 DCI 75 CV BUSINESS,8.200 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2015,Diesel,48.851 Km,,75 CV
Ford Focus 1.6 TDCI TREND 115 CV,9.500 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2014,Diesel,105.600 Km,,115 CV
Ford Fiesta 1.5 TDCI 75 CV TREND,8.200 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2015,Diesel,107.300 Km,,75 CV
Renault Megane 1.9 DCI 100 CV CLASSIC,1.500 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2002,Diesel,215.310 Km,,100 CV
Renault Megane 1.5 DCI BUSSINES 95 CV,8.800 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2015,Diesel,117.800 Km,,95 CV
Renault Scenic 1.5 DCI 110 CV EXPRESSION 7 PLAZAS,9.500 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2013,Diesel,154.803 Km,,110 CV
Peugeot 308 1.6 HDI 92 CV BUSSINES,9.200 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2014,Diesel,109.780 Km,,92 CV
Opel Astra GTC 1.7 CDTI 100 CV GTC,3.999 €,"Ribera Del Fresno (Badajoz)
Hace 3 horas",2008,Diesel,157.587 Km,,100 CV
Seat Toledo 1.6 TDI 105 CV REFERENCE PLUS,9.995 €,"Ribera Del Fresno (Badajoz)
Hace 4 horas",2015,Diesel,104.446 Km,,105 CV
Peugeot Expert 2.0 HDI 125 CV TEPEE MIXTA,10.800 €,"Ribera Del Fresno (Badajoz)
Hace 4 horas",2012,Diesel,141.400 Km,,125 CV
Volkswagen Polo trendline 1.4i 75cv 5p,2.200 €,"Ubrique (Cadiz)
Hace 4 horas",2003,Gasolina,144.000 Km,,75 CV
Audi A4 1.9 TDI 110CV,2.200 €,"Ubrique (Cadiz)
Hace 4 horas",1997,Diesel,363.184 Km,,110 CV
Toyota RAV 4 2.2 D4D 177cv Premium,9.490 €,"Utebo (Zaragoza)
Hace 4 horas",2007,Diesel,163.000 Km,,177 CV
Volvo XC 60 2.0 D4 Momentum Auto,19.990 €,"Utebo (Zaragoza)
Hace 4 horas",2014,Diesel,139.800 Km,,181 CV
Audi Q7 3.0 TDI 245cv quattro tiptron Attraction,34.990 €,"Utebo (Zaragoza)
Hace 4 horas",2014,Diesel,180.000 Km,,245 CV
